iter	Logloss
0	0.6117512555
5	0.3533728337
10	0.237125089
15	0.1818582255
20	0.1547240949
25	0.1399801731
30	0.1320554119
35	0.1274416208
40	0.1244930953
45	0.12249389
50	0.121133366
55	0.1200402135
60	0.1191838875
65	0.1185979404
70	0.118019041
75	0.117453335
80	0.1169967324
85	0.1166190285
90	0.1162777011
95	0.1158745388
100	0.1155678881
105	0.1152595244
110	0.1149927153
115	0.1147472979
120	0.1145330138
125	0.1143157614
130	0.1141017257
135	0.1139235958
140	0.1137437268
145	0.1136178342
150	0.1134863452
155	0.1133243638
160	0.1131856047
165	0.1130354698
170	0.1129345779
175	0.1128310839
180	0.1127086825
185	0.1126277572
190	0.1125336908
195	0.1124487512
200	0.1123663352
205	0.1122725826
210	0.1121681472
215	0.1121145239
220	0.1120483087
225	0.1119679456
230	0.1118998344
235	0.1118317493
240	0.1117809634
245	0.1117082234
250	0.1116454471
255	0.1115726025
260	0.1115104669
265	0.1114566213
270	0.1113880525
275	0.1113711718
280	0.1113205297
285	0.1112752225
290	0.1112317066
295	0.1111861902
300	0.1111440342
305	0.1110770606
310	0.1110385527
315	0.1109899897
320	0.1109451924
325	0.1109067761
330	0.1108587491
335	0.1107910825
340	0.1107558043
345	0.1107086404
350	0.1106732576
355	0.1106415491
360	0.1106132664
365	0.1105795312
370	0.1105474827
375	0.1105204945
380	0.110486197
385	0.1104636153
390	0.110428651
395	0.1104019635
400	0.1103751584
405	0.1103491639
410	0.1103157425
415	0.1102918271
420	0.1102751164
425	0.1102479713
430	0.1102090319
435	0.1101827237
440	0.1101533295
445	0.1101136187
450	0.1100778437
455	0.1100214614
460	0.1100098109
465	0.1099793446
470	0.1099427327
475	0.1099170129
480	0.1098884164
485	0.109859323
490	0.1098372513
495	0.109813022
500	0.1097867269
505	0.109767754
510	0.1097402428
515	0.1097270625
520	0.1097038401
525	0.1096821541
530	0.1096647308
535	0.1096368077
540	0.109611624
545	0.1095888265
550	0.1095660356
555	0.1095447615
560	0.109522912
565	0.1095120135
570	0.1094892291
575	0.1094699621
580	0.1094461513
585	0.1094251648
590	0.1093933844
595	0.1093697501
600	0.109351941
605	0.1093289409
610	0.109296899
615	0.1092829472
620	0.1092627061
625	0.1092441844
630	0.1092272645
635	0.1091979357
640	0.1091832779
645	0.1091647497
650	0.1091432925
655	0.1091198217
660	0.1091033267
665	0.1090815753
670	0.1090462775
675	0.1090316132
680	0.1090217476
685	0.1090006761
690	0.1089819844
695	0.1089541136
700	0.1089333495
705	0.1089188093
710	0.1089005034
715	0.1088853617
720	0.1088705012
725	0.1088516134
730	0.1088347262
735	0.1088124452
740	0.1087998795
745	0.1087886148
750	0.1087684652
755	0.1087592272
760	0.108745197
765	0.1087316049
770	0.1087090167
775	0.1086982358
780	0.1086743269
785	0.1086642455
790	0.1086439979
795	0.1086258227
800	0.1086089747
805	0.1085957682
810	0.1085789398
815	0.1085756448
820	0.1085627652
825	0.1085522393
830	0.1085332796
835	0.1085206812
840	0.1085069452
845	0.1084886458
850	0.1084717324
855	0.1084535899
860	0.1084276674
865	0.1084161542
870	0.1084044907
875	0.108387172
880	0.1083809545
885	0.1083688922
890	0.1083523711
895	0.1083451272
900	0.1083267558
905	0.1083240753
910	0.1083030562
915	0.108294472
920	0.1082770225
925	0.1082580301
930	0.108238665
935	0.1082240987
940	0.1082091794
945	0.1081861139
950	0.1081748623
955	0.108156236
960	0.1081341185
965	0.1081231153
970	0.1081051166
975	0.1080954994
980	0.1080850193
985	0.1080752387
990	0.1080641636
995	0.1080548014
999	0.1080432033
