iter	Passed	Remaining
0	343	343627
1	497	248179
2	651	216475
3	807	201080
4	945	188235
5	1100	182292
6	1241	176046
7	1393	172844
8	1534	169013
9	1685	166875
10	1844	165839
11	1985	163453
12	2151	163382
13	2303	162230
14	2447	160708
15	2614	160809
16	2749	158995
17	2889	157613
18	3038	156906
19	3180	155849
20	3336	155535
21	3482	154832
22	3641	154691
23	3797	154447
24	3946	153928
25	4097	153507
26	4232	152536
27	4381	152096
28	4529	151672
29	4675	151189
30	4826	150877
31	4963	150148
32	5113	149841
33	5258	149398
34	5395	148775
35	5554	148724
36	5686	148011
37	5849	148072
38	5991	147635
39	6143	147448
40	6310	147605
41	6443	146969
42	6594	146756
43	6733	146300
44	6894	146315
45	7040	146013
46	7170	145396
47	7313	145053
48	7456	144720
49	7611	144620
50	7772	144636
51	7912	144257
52	8066	144138
53	8209	143813
54	8350	143478
55	8514	143523
56	8655	143191
57	8797	142881
58	8935	142509
59	9094	142478
60	9243	142296
61	9392	142097
62	9542	141929
63	9690	141720
64	9845	141622
65	9994	141441
66	10128	141043
67	10283	140948
68	10432	140767
69	10590	140697
70	10741	140552
71	10898	140470
72	11038	140177
73	11178	139887
74	11330	139745
75	11492	139725
76	11631	139425
77	11781	139267
78	11926	139037
79	12068	138786
80	12224	138694
81	12364	138423
82	12526	138397
83	12662	138077
84	12785	137632
85	12952	137656
86	13093	137408
87	13240	137216
88	13390	137064
89	13533	136839
90	13687	136722
91	13831	136506
92	13970	136254
93	14126	136151
94	14269	135938
95	14435	135938
96	14575	135686
97	14710	135400
98	14863	135276
99	15019	135171
100	15178	135107
101	15324	134918
102	15469	134716
103	15622	134591
104	15769	134414
105	15932	134373
106	16067	134096
107	16215	133924
108	16362	133754
109	16509	133573
110	16665	133470
111	16791	133132
112	16940	132975
113	17092	132841
114	17239	132668
115	17391	132536
116	17524	132256
117	17675	132118
118	17807	131832
119	17963	131729
120	18115	131597
121	18255	131377
122	18398	131181
123	18556	131089
124	18704	130933
125	18866	130866
126	19005	130644
127	19153	130481
128	19304	130345
129	19448	130152
130	19605	130052
131	19737	129790
132	19885	129632
133	20035	129483
134	20184	129333
135	20334	129182
136	20470	128950
137	20613	128762
138	20757	128575
139	20903	128407
140	21059	128300
141	21192	128048
142	21338	127878
143	21485	127716
144	21630	127546
145	21797	127499
146	21934	127280
147	22078	127100
148	22217	126895
149	22360	126708
150	22506	126540
151	22641	126315
152	22791	126174
153	22930	125966
154	23075	125800
155	23245	125762
156	23379	125536
157	23524	125362
158	23665	125173
