iter	Passed	Remaining
0	2329	23288433
1	4199	20993196
2	6347	21152288
3	8526	21307995
4	10590	21171144
5	12602	20990864
6	14696	20979805
7	16797	20980056
8	18853	20929786
9	20903	20882788
10	22936	20828598
11	25047	20847511
12	27011	20751291
13	28795	20539654
14	30773	20484748
15	32607	20346904
16	34769	20417971
17	36787	20400768
18	38873	20420950
19	40825	20372072
20	42795	20336038
21	44634	20243894
22	46556	20195584
23	48541	20177152
24	50584	20183066
25	52506	20142372
26	54513	20135580
27	56331	20061904
28	58327	20054619
29	60290	20036655
30	62208	20005053
31	64305	20031087
32	66219	20000409
33	68023	19938983
34	70223	19993692
35	72213	19987032
36	74265	19997424
37	76323	20008707
38	78163	19963816
39	80206	19971386
40	82316	19994913
41	84231	19970916
42	86257	19973690
43	88080	19930248
44	89884	19884541
45	91602	19821949
46	93382	19775229
47	95363	19771962
48	97325	19764956
49	99319	19764530
50	101318	19765096
51	103239	19750499
52	105184	19740962
53	107145	19734620
54	109079	19723564
55	111046	19718699
56	113119	19732461
57	114817	19681361
58	116676	19659031
59	118427	19619504
60	120403	19617956
61	122468	19630561
62	124333	19611111
63	126193	19591504
64	128168	19590072
65	130155	19590356
66	132405	19629621
67	134829	19693014
68	136972	19714088
69	138908	19705169
70	140670	19672044
71	142858	19698635
72	144960	19712585
73	147031	19722078
74	149106	19731713
75	151134	19735038
76	153276	19752811
77	155359	19762487
78	157194	19740855
79	159373	19762319
80	161657	19796063
81	163703	19800197
82	165867	19818222
83	168217	19857716
84	170198	19853098
85	172179	19848745
86	174161	19844370
87	176325	19860707
88	178343	19860283
89	180500	19875138
90	182508	19873320
91	184498	19869723
92	186296	19845583
93	188333	19847106
94	190530	19865311
95	192608	19870809
96	194932	19901248
97	196727	19877529
98	198711	19873178
99	200489	19848415
100	202205	19818148
101	204252	19820526
102	206206	19813840
103	208383	19828451
104	210145	19803746
105	212062	19793864
106	213992	19785323
107	215899	19774803
108	217850	19768409
109	219567	19741071
110	221519	19735187
111	223459	19728279
112	225339	19716241
113	227575	19735198
114	229535	19730069
115	231477	19723457
116	233361	19712068
117	235190	19696212
118	237103	19687591
119	239007	19678298
120	241058	19681152
121	242927	19669139
122	244898	19665561
123	246887	19663381
124	248895	19662762
125	250845	19657546
126	252669	19642571
127	254627	19638131
128	256556	19631515
129	258674	19639332
130	260562	19629697
131	262539	19626793
132	264707	19638083
133	266673	19634330
134	268731	19637326
135	270548	19622735
136	272514	19619060
137	274595	19623633
138	276723	19631414
139	278780	19634085
140	281006	19648537
141	283028	19648551
142	284930	19640266
143	286949	19640082
144	289084	19647755
145	290903	19634012
146	293096	19645446
147	294988	19636673
148	297122	19643993
149	298971	19632448
150	300909	19626854
151	302780	19617006
152	304686	19609485
153	306758	19612651
154	308697	19607266
155	310506	19593776
156	312614	19599123
157	314620	19598069
158	316431	19584918
159	318295	19575163
160	320029	19557566
161	321889	19547847
162	324057	19556752
163	326086	19557228
164	327950	19547810
165	330152	19558525
166	332168	19558173
167	334211	19559328
168	336367	19567016
169	338350	19564636
170	340307	19560698
171	342275	19557444
172	344496	19568573
173	346755	19581696
174	348746	19579648
175	350973	19590683
176	353056	19593665
177	355512	19617090
178	357802	19631142
179	359811	19629702
180	361715	19622546
181	364023	19637251
182	366188	19644087
183	368601	19664098
184	370944	19680102
185	372869	19673857
186	374833	19669755
187	376781	19664764
188	378735	19660179
189	380703	19656327
190	382683	19653080
191	384697	19651627
192	386842	19656825
193	389006	19662867
194	391119	19666271
195	393206	19668357
196	395009	19656246
197	396833	19645257
198	398763	19639606
199	400666	19632671
200	402617	19628125
201	404535	19621976
202	406612	19623576
203	408598	19620739
204	410426	19610362
205	412469	19610313
206	414197	19595356
207	416200	19593458
208	418404	19600951
209	420354	19596524
210	422265	19590325
211	424319	19590739
212	426467	19595488
213	428501	19594952
214	430451	19590544
215	432737	19601383
216	434704	19597780
217	436593	19590646
218	438684	19592565
219	440588	19586158
220	442664	19587413
221	444770	19589927
222	446572	19579090
223	448517	19574569
224	450617	19576826
225	452512	19570181
226	454668	19574777
227	456770	19577002
228	458731	19573212
229	460832	19575363
230	462690	19567184
231	464459	19555336
232	466399	19550762
233	468942	19571317
234	470755	19561388
235	472745	19558855
236	474697	19554735
237	476543	19546288
238	478347	19536205
239	480547	19542250
240	482891	19554097
241	485006	19556573
242	486779	19545287
243	489132	19557297
244	491149	19555782
245	493068	19550383
246	495122	19550309
247	497093	19547003
248	499248	19550886
249	501355	19552872
250	503631	19561386
251	505921	19570313
252	507839	19564857
253	510056	19570921
254	512028	19567520
255	514035	19565483
256	516020	19562584
257	518001	19559559
258	520016	19557849
259	521998	19554850
260	524118	19557040
261	526048	19552137
262	528056	19550151
263	530358	19558990
264	532328	19555553
265	534319	19552896
266	536179	19545467
267	538594	19558232
268	540829	19564367
269	542783	19560312
270	544735	19556203
271	546534	19546636
272	548537	19544410
273	550566	19543086
274	552663	19544195
275	554483	19535514
276	556637	19538568
277	558581	19534270
278	560531	19530189
279	562387	19522872
280	564124	19511469
281	566240	19513220
282	568446	19517994
283	570298	19510648
284	572084	19501065
285	574104	19499464
286	576090	19496736
287	578168	19497122
288	580363	19501424
289	582402	19500441
290	584674	19507245
291	586682	19505188
292	588536	19498030
293	590335	19489090
294	592567	19494475
295	594434	19487799
296	596458	19486312
297	598570	19487703
298	600625	19487197
299	602566	19482977
300	604511	19478936
301	606537	19477499
302	608653	19478926
303	610491	19471461
304	612328	19464018
305	614271	19459968
306	616257	19457273
307	618318	19456958
308	620298	19454079
309	622558	19459965
310	624571	19458109
311	626509	19453910
312	628485	19450923
313	630549	19450658
314	632575	19449183
315	634500	19444618
316	636544	19443729
317	638589	19442832
318	640458	19436616
319	642404	19432728
320	644739	19440618
321	646946	19444549
322	648935	19441941
323	650751	19434173
324	652723	19431088
325	654718	19428679
326	656822	19429500
327	659080	19434839
328	661100	19433128
329	663287	19436331
330	665378	19436676
331	667370	19434153
332	669363	19431648
333	671220	19425215
334	673327	19425999
335	675682	19433906
336	677647	19430575
337	679503	19424163
338	681578	19423972
339	683553	19420971
340	685343	19412720
341	687352	19410660
342	689503	19412636
343	691523	19410893
344	693526	19408703
345	695741	19412381
346	697665	19407966
347	699957	19413769
348	701960	19411527
349	704051	19411714
350	706103	19410806
351	708052	19407070
352	710076	19405394
353	711990	19400730
354	713894	19395799
355	715851	19392330
356	717636	19384224
357	719756	19385162
358	721959	19388340
359	724107	19389980
360	725980	19384270
361	727754	19375959
362	729767	19374019
363	731636	19368268
364	733459	19361333
365	735623	19363388
366	737590	19360255
367	739814	19363846
368	741826	19361869
369	743651	19355044
370	745609	19351672
371	747627	19349879
372	749640	19347969
373	751674	19346580
374	753793	19347368
375	755727	19343413
376	757839	19344014
377	759838	19341708
378	762158	19347572
379	764360	19350382
380	766382	19348635
381	768369	19346012
382	770330	19342730
383	772524	19345288
384	774929	19353109
385	776951	19351334
386	779015	19350578
387	781403	19357873
388	783654	19361694
389	785708	19360674
390	787781	19360075
391	789598	19353211
392	791665	19352500
393	793687	19350669
394	795521	19344254
395	797589	19343569
396	799757	19345276
397	801654	19340407
398	803815	19341928
399	805835	19340058
400	808210	19346661
401	810165	19343209
402	812242	19342653
403	814479	19345912
404	816528	19344667
405	818529	19342293
406	820564	19340720
407	822552	19338049
408	824535	19335249
409	826607	19334547
410	828379	19326830
411	830186	19319962
412	832051	19314468
413	834125	19313830
414	836157	19312210
415	838155	19309808
416	840509	19315599
417	842627	19315929
418	844615	19313266
419	846783	19314718
420	848563	19307347
421	850710	19308297
422	852698	19305668
423	854876	19307312
424	856720	19301406
425	858724	19299117
426	860944	19301692
427	862840	19296982
428	864829	19294369
429	866943	19294534
430	869182	19297470
431	871180	19295026
432	873497	19299646
433	875693	19301581
434	877680	19298882
435	879730	19297565
436	881636	19293103
437	883453	19286724
438	885496	19285272
439	887331	19279298
440	889390	19278200
441	891378	19275559
442	893428	19274259
443	895208	19267137
444	897135	19263219
445	898964	19257200
446	901217	19260248
447	903324	19260173
448	905541	19262420
449	907406	19257185
450	909317	19252930
451	911370	19251683
452	913254	19246878
453	915463	19248926
454	917305	19243261
455	919300	19240794
456	921114	19234557
457	923297	19236043
458	925288	19233507
459	927283	19231061
460	929585	19234965
461	931850	19238068
462	934053	19239890
463	936179	19240103
464	938468	19243648
465	940456	19241019
466	942705	19243698
467	944831	19243865
468	947039	19245691
469	948852	19239489
470	950995	19239997
471	952915	19235981
472	954910	19233472
473	956985	19232574
474	959162	19233734
475	961184	19231765
476	962990	19225490
477	965255	19228373
478	967325	19227364
479	969182	19222120
480	971004	19216208
481	972969	19213115
482	974787	19207146
483	976822	19205464
484	978832	19203273
485	980938	19202988
486	983051	19202817
487	985029	19200010
488	987116	19199323
489	989261	19199739
490	991127	19194762
491	993399	19197654
492	995329	19193907
493	997376	19192436
494	999320	19188972
495	1001437	19188836
496	1003362	19185009
497	1005516	19185575
498	1007565	19184128
499	1009555	19181559
500	1011445	19177086
501	1013683	19179216
502	1015866	19180279
503	1017874	19178049
504	1019796	19174201
505	1021759	19171108
506	1023699	19167615
507	1025802	19167160
508	1027994	19168363
509	1030187	19169576
510	1032433	19171745
511	1034625	19172896
512	1036584	19169742
513	1038627	19168139
514	1040683	19166762
515	1042902	19168390
516	1044938	19166639
517	1046899	19163518
518	1049089	19164587
519	1051096	19162297
520	1053284	19163315
521	1055306	19161301
522	1057076	19154717
523	1059342	19157121
524	1061419	19156086
525	1063413	19153578
526	1065609	19154677
527	1067836	19156333
528	1069665	19150861
529	1071806	19150953
530	1073974	19151539
531	1076089	19151157
532	1078160	19149994
533	1080303	19150101
534	1082511	19151343
535	1084723	19152655
536	1086894	19153224
537	1088828	19149611
538	1090849	19147548
539	1093074	19149053
540	1095183	19148496
541	1097206	19146456
542	1099134	19142749
543	1101119	19140045
544	1103378	19142091
545	1105422	19140417
546	1107254	19135051
547	1109402	19135176
548	1111248	19130069
549	1113335	19129131
550	1115130	19123179
551	1117299	19123632
552	1119467	19124063
553	1121498	19122163
554	1123518	19120062
555	1125709	19120867
556	1127659	19117579
557	1129421	19111110
558	1131398	19108280
559	1133412	19106092
560	1135487	19104936
561	1137448	19101844
562	1139572	19101494
563	1141516	19098141
564	1143515	19095699
565	1145611	19094875
566	1147620	19092601
567	1149531	19088697
568	1151889	19092214
569	1153829	19088800
570	1155803	19085944
571	1157616	19080437
572	1159665	19078822
573	1161585	19075099
574	1163411	19069838
575	1165696	19072083
576	1167933	19073541
577	1170038	19072842
578	1172057	19070732
579	1174099	19068995
580	1176294	19069739
581	1178239	19066423
582	1180124	19062141
583	1182031	19058225
584	1184038	19055941
585	1186172	19055685
586	1187951	19049717
587	1189992	19047971
588	1192108	19047425
589	1194117	19045161
590	1196117	19042753
591	1198106	19040172
592	1200074	19037276
593	1202078	19034940
594	1204346	19036765
595	1206315	19033881
596	1208495	19034303
597	1210307	19028945
598	1212361	19027394
599	1214707	19030421
600	1217003	19032642
601	1218990	19030016
602	1221018	19028046
603	1223194	19028366
604	1225155	19025341
605	1227142	19022732
606	1229136	19020223
607	1231549	19024193
608	1233773	19025228
609	1235990	19026145
610	1238058	19024771
611	1240338	19026635
612	1242390	19024996
613	1244408	19022837
614	1246501	19021811
615	1248755	19023243
616	1250981	19024251
617	1253260	19026031
618	1255181	19022389
619	1257209	19020356
620	1259322	19019620
621	1261261	19016258
622	1263132	19011870
623	1265154	19009749
624	1267171	19007565
625	1268996	19002516
626	1271060	19001039
627	1272884	18995969
628	1274861	18993205
629	1276906	18991453
630	1279073	18991501
631	1281070	18989032
632	1282917	18984348
633	1285068	18984150
634	1287005	18980790
635	1289344	18983370
636	1291341	18980899
637	1293408	18979445
638	1295430	18977344
639	1297563	18976864
640	1299527	18973906
641	1301340	18968753
642	1303363	18966674
643	1305393	18964697
644	1307471	18963398
645	1309684	18964076
646	1311702	18961909
647	1313530	18957006
648	1315516	18954378
649	1317476	18951386
650	1319635	18951259
651	1321888	18952471
652	1323992	18951540
653	1326232	18952557
654	1328435	18953023
655	1330442	18950698
656	1332478	18948773
657	1334604	18948142
658	1336480	18943958
659	1338382	18940139
660	1340384	18937752
661	1342406	18935640
662	1344584	18935731
663	1346691	18934802
664	1348582	18930858
665	1350583	18928448
666	1352701	18927685
667	1354477	18922129
668	1356468	18919589
669	1358315	18915044
670	1360259	18911859
671	1362087	18907069
672	1364037	18903983
673	1365836	18898805
674	1368108	18900165
675	1370264	18899913
676	1372014	18894077
677	1374039	18892025
678	1376222	18892146
679	1378018	18886963
680	1379854	18882325
681	1381644	18877072
682	1383668	18875023
683	1385631	18872136
684	1387599	18869323
685	1389712	18868481
686	1391456	18862639
687	1393600	18862225
688	1395724	18861520
689	1397879	18861241
690	1399921	18859431
691	1402016	18858337
692	1404059	18856544
693	1405888	18851864
694	1407900	18849659
695	1410038	18849139
696	1411817	18843817
697	1413632	18838976
698	1415477	18834564
699	1417572	18833466
700	1419377	18828522
701	1421353	18825849
702	1423642	18827319
703	1425631	18824818
704	1427552	18821421
705	1429645	18820287
706	1431642	18817895
707	1433577	18814686
708	1435594	18812566
709	1437661	18811091
710	1439832	18810975
711	1441985	18810624
712	1443882	18806918
713	1446009	18806224
714	1447967	18803325
715	1449979	18801126
716	1452233	18802063
717	1454031	18797106
718	1456067	18795216
719	1457904	18790767
720	1459895	18788314
721	1461809	18784856
722	1463545	18779125
723	1465812	18780212
724	1468009	18780402
725	1470107	18779308
726	1472124	18777180
727	1474048	18773876
728	1476026	18771244
729	1478094	18769773
730	1480104	18767565
731	1482127	18765521
732	1484058	18762301
733	1485960	18758734
734	1488010	18757035
735	1489978	18754288
736	1491966	18751808
737	1494031	18750299
738	1496201	18750095
739	1498176	18747450
740	1500270	18746295
741	1502496	18746780
742	1504429	18743612
743	1506533	18742572
744	1508348	18737944
745	1510404	18736305
746	1512514	18735337
747	1514551	18733466
748	1516500	18730503
749	1518298	18725681
750	1520377	18724326
751	1522354	18721722
752	1524593	18722333
753	1526544	18719399
754	1528541	18717036
755	1530435	18713423
756	1532391	18710563
757	1534514	18709734
758	1536570	18708097
